state_fips,district,income,avg_income_ALL,pre-tcja-tax,current-law-tax,total_returns
6,39,6,552960.0,405448.0,428559.0,136571.0
6,40,0,5482.0,5698.0,5715.0,661630.0
6,40,1,17136.0,18597.0,18742.0,1154040.0
6,40,2,35967.0,33962.0,34996.0,1105930.0
6,40,3,61344.0,51534.0,52788.0,567580.0
6,40,4,86460.0,70835.0,72487.0,344050.0
6,40,5,137009.0,109443.0,111769.0,502310.0
6,40,6,634619.0,463784.0,484851.0,230110.0
6,41,0,5540.0,5836.0,5853.0,128420.0
6,41,1,17203.0,18802.0,18936.0,246860.0
6,41,2,35878.0,34539.0,35612.0,232320.0
6,41,3,61526.0,53549.0,54905.0,124880.0
6,41,4,86593.0,72311.0,73660.0,82290.0
6,41,5,134683.0,109081.0,111096.0,114460.0
6,41,6,376014.0,283228.0,303114.0,27000.0
6,42,0,5540.0,5836.0,5853.0,128420.0
6,42,1,17203.0,18802.0,18936.0,246860.0
6,42,2,35878.0,34539.0,35612.0,232320.0
6,42,3,61526.0,53549.0,54905.0,124880.0
6,42,4,86593.0,72311.0,73660.0,82290.0
6,42,5,134683.0,109081.0,111096.0,114460.0
6,42,6,376014.0,283228.0,303114.0,27000.0
6,43,0,5482.0,5698.0,5715.0,661630.0
6,43,1,17136.0,18597.0,18742.0,1154040.0
6,43,2,35967.0,33962.0,34996.0,1105930.0
6,43,3,61344.0,51534.0,52788.0,567580.0
6,43,4,86460.0,70835.0,72487.0,344050.0
6,43,5,137009.0,109443.0,111769.0,502310.0
6,43,6,634619.0,463784.0,484851.0,230110.0
6,44,0,5482.0,5698.0,5715.0,661630.0
6,44,1,17136.0,18597.0,18742.0,1154040.0
6,44,2,35967.0,33962.0,34996.0,1105930.0
6,44,3,61344.0,51534.0,52788.0,567580.0
6,44,4,86460.0,70835.0,72487.0,344050.0
6,44,5,137009.0,109443.0,111769.0,502310.0
6,44,6,634619.0,463784.0,484851.0,230110.0
6,45,0,5247.0,5445.0,5462.0,195710.0
6,45,1,17251.0,18343.0,18486.0,308060.0
6,45,2,36095.0,34047.0,35053.0,323930.0
6,45,3,61546.0,51880.0,53093.0,182990.0
6,45,4,86781.0,71629.0,73205.0,125090.0
6,45,5,139180.0,111925.0,114164.0,225050.0
6,45,6,541412.0,396551.0,420907.0,112550.0
6,46,0,5247.0,5445.0,5462.0,195710.0
6,46,1,17251.0,18343.0,18486.0,308060.0
6,46,2,36095.0,34047.0,35053.0,323930.0
6,46,3,61546.0,51880.0,53093.0,182990.0
6,46,4,86781.0,71629.0,73205.0,125090.0
6,46,5,139180.0,111925.0,114164.0,225050.0
6,46,6,541412.0,396551.0,420907.0,112550.0
6,47,0,5386.0,5595.0,5612.0,471069.0
6,47,1,17183.0,18493.0,18638.0,808034.0
