,gross_income,employee_payroll_tax,employer_payroll_tax,ordinary_income_after_401k,agi_before_business_income_deduction,agi,taxable_income,deduction_type,deductions,personal_exemption_amt,pease_limitation_amt,income_tax_before_credits,qualified_income_tax,selected_tax_before_credits,amt,income_tax_before_credits_with_amt,ctc,actc,eitc,income_tax_after_nonrefundable_credits,income_tax_after_credits,tax_burden,tax_wedge,avg_effective_tax_rate,avg_effective_tax_rate_wo_payroll
72,730.0,41.88375,41.88375,547.5,547.5,698.0625,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,219.0,0.0,-219.0,-177.12,-135.23,-0.2426,-0.3
73,740.0,42.457499999999996,42.457499999999996,555.0,555.0,707.625,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,222.0,0.0,-222.0,-179.54,-137.09,-0.2426,-0.3
74,750.0,43.03125,43.03125,562.5,562.5,717.1875,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,225.0,0.0,-225.0,-181.97,-138.94,-0.2426,-0.3
75,760.0,43.605,43.605,570.0,570.0,726.75,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,228.0,0.0,-228.0,-184.4,-140.79,-0.2426,-0.3
76,770.0,44.17875,44.17875,577.5,577.5,736.3125,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,231.0,0.0,-231.0,-186.82,-142.64,-0.2426,-0.3
77,780.0,44.752500000000005,44.752500000000005,585.0,585.0,745.875,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,234.0,0.0,-234.0,-189.25,-144.5,-0.2426,-0.3
78,790.0,45.32625,45.32625,592.5,592.5,755.4375,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,237.0,0.0,-237.0,-191.67,-146.35,-0.2426,-0.3
79,800.0,45.900000000000006,45.900000000000006,600.0,600.0,765.0,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,240.0,0.0,-240.0,-194.1,-148.2,-0.2426,-0.3
80,810.0,46.473749999999995,46.473749999999995,607.5,607.5,774.5625,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,243.0,0.0,-243.0,-196.53,-150.05,-0.2426,-0.3
81,820.0,47.0475,47.0475,615.0,615.0,784.125,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,246.0,0.0,-246.0,-198.95,-151.9,-0.2426,-0.3
82,830.0,47.62125,47.62125,622.5,622.5,793.6875,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,249.0,0.0,-249.0,-201.38,-153.76,-0.2426,-0.3
83,840.0,48.195,48.195,630.0,630.0,803.25,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,252.0,0.0,-252.0,-203.81,-155.61,-0.2426,-0.3
84,850.0,48.76875,48.76875,637.5,637.5,812.8125,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,255.0,0.0,-255.0,-206.23,-157.46,-0.2426,-0.3
85,860.0,49.3425,49.3425,645.0,645.0,822.375,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,258.0,0.0,-258.0,-208.66,-159.31,-0.2426,-0.3
86,870.0,49.91625,49.91625,652.5,652.5,831.9375,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,261.0,0.0,-261.0,-211.08,-161.17,-0.2426,-0.3
87,880.0,50.49,50.49,660.0,660.0,841.5,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,264.0,0.0,-264.0,-213.51,-163.02,-0.2426,-0.3
88,890.0,51.06375,51.06375,667.5,667.5,851.0625,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,267.0,0.0,-267.0,-215.94,-164.87,-0.2426,-0.3
89,900.0,51.6375,51.6375,675.0,675.0,860.625,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,270.0,0.0,-270.0,-218.36,-166.73,-0.2426,-0.3
90,910.0,52.21125,52.21125,682.5,682.5,870.1875,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,273.0,0.0,-273.0,-220.79,-168.58,-0.2426,-0.3
91,920.0,52.785000000000004,52.785000000000004,690.0,690.0,879.75,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,276.0,0.0,-276.0,-223.22,-170.43,-0.2426,-0.3
92,930.0,53.35875,53.35875,697.5,697.5,889.3125,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,279.0,0.0,-279.0,-225.64,-172.28,-0.2426,-0.3
