state_name,statefips,county_name,countyfips,totalrets,agi_stub,child_dep,avg_income_ALL,taxes_paid_ded,pre,post
NV,32,Lincoln,17,0,8,0,0,0.0,0.0,0.0
NV,32,Lyon,19,3540,2,1,5219,1750.0,5578.897727272727,5598.15625
NV,32,Lyon,19,5930,3,1,17312,2295.2380952380954,17748.248065032214,18015.466666666667
NV,32,Lyon,19,6440,4,1,36146,2352.2935779816517,32624.56567438478,33444.77215189873
NV,32,Lyon,19,3790,5,1,61829,2718.4210526315787,52372.63747830627,53740.42780748663
NV,32,Lyon,19,2260,6,1,86386,3387.9518072289156,72111.01020048556,74001.08849557523
NV,32,Lyon,19,2200,7,1,129603,4820.338983050848,104323.30523038605,107487.20535491906
NV,32,Lyon,19,250,8,1,350396,11558.823529411766,266932.0733333333,286341.5133333333
NV,32,Mineral,21,270,2,1,5137,0.0,5798.178571428572,5824.607142857143
NV,32,Mineral,21,430,3,1,17109,500.0,17139.39977851606,17379.714285714286
NV,32,Mineral,21,520,4,1,36558,2650.0,32418.3976777939,33222.30188679246
NV,32,Mineral,21,320,5,1,59938,2460.0,50323.015625,51704.75
NV,32,Mineral,21,150,6,1,88640,2900.0,72680.34509803922,74779.47058823532
NV,32,Mineral,21,150,7,1,136473,3900.0,108312.0,111995.0
NV,32,Mineral,21,0,8,0,0,0.0,0.0,0.0
NV,32,Nye,23,2550,2,1,5227,2563.636363636364,5670.399209486166,5696.818181818182
NV,32,Nye,23,4390,3,1,17002,1956.666666666667,17464.39743657034,17739.451612903227
NV,32,Nye,23,4020,4,1,35981,2075.3846153846157,32889.48006793443,33712.845177664974
NV,32,Nye,23,2690,5,1,62166,2821.794871794872,52569.27430735779,53885.72075471699
NV,32,Nye,23,1690,6,1,86342,3272.8813559322034,71787.78502174378,73623.45180722892
NV,32,Nye,23,1850,7,1,129636,4625.301204819278,103427.24071680376,106710.64212690953
NV,32,Nye,23,270,8,0,371000,13100.0,280688.51566951565,300614.8803418804
NV,32,Pershing,27,280,2,1,5475,0.0,5958.0,5978.75
NV,32,Pershing,27,390,3,1,17064,0.0,17228.0,17474.076923076922
NV,32,Pershing,27,450,4,1,36078,3040.0,32607.456790123455,33407.444444444445
NV,32,Pershing,27,320,5,1,62478,2740.0,52265.72727272727,53673.57575757576
NV,32,Pershing,27,240,6,1,88146,3060.0,72804.92708333333,74902.91666666667
NV,32,Pershing,27,240,7,1,129992,4144.444444444444,104778.203125,108369.984375
NV,32,Pershing,27,30,8,0,309233,0.0,226493.0,239202.0
NV,32,Storey,29,210,2,1,5243,0.0,5518.571428571428,5529.047619047619
NV,32,Storey,29,360,3,1,17050,2100.0,17050.108108108107,17305.37837837838
NV,32,Storey,29,420,4,1,37095,1877.7777777777778,33062.573214285716,33863.475
NV,32,Storey,29,290,5,1,62669,2740.0,52661.73333333333,54122.26666666668
NV,32,Storey,29,210,6,1,86338,2700.0,71953.38095238095,73931.25
NV,32,Storey,29,310,7,1,133519,6547.368421052632,107291.41935483871,111012.33333333331
NV,32,Storey,29,40,8,0,379125,7900.0,281720.5,299372.5
NV,32,Washoe,31,27700,2,1,5311,2865.2542372881358,5543.005464480874,5560.058287795993
NV,32,Washoe,31,48710,3,2,17488,2348.160535117057,18226.574469185278,18359.39983374896
NV,32,Washoe,31,54380,4,2,35945,2556.4455569461825,33424.467529675785,34427.77426002248
NV,32,Washoe,31,29580,5,1,61519,3175.63025210084,51868.30132941771,53271.51236263736
NV,32,Washoe,31,18480,6,1,86573,3885.0657108721625,71801.14877612829,73754.3943200437
NV,32,Washoe,31,25980,7,1,134760,5754.034229828851,108124.66105092612,111400.56864264495
NV,32,Washoe,31,9790,8,1,600288,26115.068493150684,443101.7243940942,471094.8684418237
NV,32,White Pine,33,530,2,1,5021,0.0,5404.33962264151,5420.11320754717
NV,32,White Pine,33,750,3,2,17128,0.0,18407.44864864865,18537.18918918919
NV,32,White Pine,33,860,4,1,36822,2500.0,32751.464305029745,33540.58139534884
NV,32,White Pine,33,730,5,1,61204,2546.1538461538457,51057.91305175038,52495.347222222226
NV,32,White Pine,33,500,6,1,86182,4100.0,70653.37647058823,72861.03921568628
NV,32,White Pine,33,510,7,1,127094,3682.3529411764707,101720.97333333334,105654.35999999999
NV,32,White Pine,33,70,8,1,331814,6360.0,252143.0,269480.71428571426
NV,32,Carson City,510,3560,2,1,5276,2018.75,5538.887005649717,5554.197740112994
NV,32,Carson City,510,6040,3,1,17388,2019.5121951219512,17279.895872852117,17524.25795644891
NV,32,Carson City,510,7230,4,1,36209,2241.818181818182,32265.604239251596,33085.77637130802
NV,32,Carson City,510,3920,5,1,61385,2811.382113821138,51596.12986473659,52995.84237726098
NV,32,Carson City,510,2300,6,1,86442,3582.7956989247314,71955.20562547674,73938.89912280702
NV,32,Carson City,510,2690,7,1,132436,5074.342105263158,106555.73708594572,109989.20895522388
NV,32,Carson City,510,650,8,1,448655,13236.734693877552,334395.4557692308,356298.8076923077
NH,33,Belknap,1,4990,2,1,5032,4796.153846153847,5234.125760649087,5250.9330628803245
NH,33,Belknap,1,6170,3,1,17292,4868.421052631579,17087.294792309953,17332.60898502496
NH,33,Belknap,1,7940,4,1,36346,4664.137931034483,32557.104183065705,33381.864583333336
NH,33,Belknap,1,4760,5,1,61548,5346.25,52380.591738207164,53813.31749460043
NH,33,Belknap,1,3270,6,1,86553,6317.518248175183,72720.28811505287,74723.93188854489
NH,33,Belknap,1,4140,7,1,132905,8711.934156378602,107342.12747994935,110765.213592233
NH,33,Belknap,1,1230,8,1,528692,28441.346153846156,389108.2825203252,414890.44918699184
NH,33,Carroll,3,3930,2,1,5028,3800.0,5245.056555269923,5263.588688946016
NH,33,Carroll,3,5410,3,1,17312,3794.4444444444443,17423.402141387367,17696.78113207547
NH,33,Carroll,3,6140,4,1,36011,4013.1578947368425,32806.522139999564,33654.07718120806
NH,33,Carroll,3,3700,5,1,61527,5107.438016528926,52844.759683440345,54316.939226519346
NH,33,Carroll,3,2290,6,1,86591,6254.945054945054,73628.46265226384,75679.0701754386
NH,33,Carroll,3,2780,7,1,133622,8677.987421383648,108999.61037691587,112518.94617349598
NH,33,Carroll,3,960,8,1,942891,39990.0,671153.3670212765,698222.6560283689
NH,33,Cheshire,5,5160,2,1,5119,4995.454545454545,5314.479452054795,5335.753424657535
NH,33,Cheshire,5,7110,3,1,17452,5088.333333333333,17102.66537774049,17343.913544668587
NH,33,Cheshire,5,9450,4,1,36295,5325.766871165644,32269.17297535109,33083.38402625821
NH,33,Cheshire,5,5580,5,1,61466,6352.197802197802,52231.625306632464,53682.587155963294
NH,33,Cheshire,5,3750,6,1,86681,7317.948717948718,72699.3862425876,74737.75471698113
NH,33,Cheshire,5,4460,7,1,131864,9781.7843866171,106156.49953733361,109560.70521541948
NH,33,Cheshire,5,1220,8,1,541344,31998.095238095237,399272.7024993281,424339.00120935234
NH,33,Coos,7,2700,2,1,4928,3750.0,5215.910780669145,5237.5241635687735
NH,33,Coos,7,3560,3,1,17312,3380.0,17548.1858105939,17813.731428571427
NH,33,Coos,7,3820,4,1,36076,3592.682926829268,32494.44717375742,33309.479892761396
NH,33,Coos,7,2120,5,1,61409,4445.0,52530.28482441094,53926.995215311006
NH,33,Coos,7,1280,6,1,86595,5993.103448275861,72584.44617372048,74619.68503937007
NH,33,Coos,7,1040,7,1,127511,7650.000000000001,102841.31379437869,106416.97115384616
NH,33,Coos,7,210,8,1,387162,16714.285714285714,288887.0333333333,308189.6
NH,33,Grafton,9,6210,2,1,4969,4870.833333333333,5164.411764705882,5185.196078431372
NH,33,Grafton,9,8220,3,1,17455,5006.666666666667,17092.704620447046,17335.7198007472
NH,33,Grafton,9,10910,4,1,36219,4914.9350649350645,32209.760040849753,33006.470028544245
NH,33,Grafton,9,6230,5,1,61440,5740.909090909091,52010.80085430402,53455.91074380165
NH,33,Grafton,9,4140,6,1,86468,6801.282051282052,72383.39343563511,74463.98529411765
NH,33,Grafton,9,5430,7,1,134155,9642.03821656051,108288.34671417912,111651.12079045917
NH,33,Grafton,9,2400,8,1,535768,25832.682926829268,396479.7845763305,422143.95807072835
NH,33,Hillsborough,11,29820,2,1,4979,4685.454545454545,5141.9471007121065,5155.594099694812
NH,33,Hillsborough,11,36110,3,1,17337,4580.379746835443,16890.19862687952,17117.931882419445
NH,33,Hillsborough,11,47640,4,1,36562,4926.2661955241465,32125.014079273064,32914.84878682843
NH,33,Hillsborough,11,30210,5,1,61630,5866.428571428571,51506.463657280816,52940.75153165418
NH,33,Hillsborough,11,21010,6,1,86876,6973.005565862709,71824.91787519073,73799.03479942003
NH,33,Hillsborough,11,35030,7,1,136350,9372.938856015779,108433.09064738745,111549.06668582928
NH,33,Hillsborough,11,10910,8,1,392144,19166.112266112264,290672.29972586926,309080.64597948635
NH,33,Merrimack,13,10580,2,1,4966,4383.333333333333,5135.054441260745,5148.127984718241
NH,33,Merrimack,13,12850,3,1,17283,4769.747899159664,16864.599477487493,17097.985714285714
NH,33,Merrimack,13,17650,4,1,36600,5033.333333333333,32366.835744287284,33162.21080446271
NH,33,Merrimack,13,11090,5,1,61524,5589.135802469135,51871.47757731333,53322.53017641596
NH,33,Merrimack,13,7890,6,1,86782,6588.440860215053,72468.95273818087,74454.20592020592
