Zip,AGI Bracket,Filers,Itemizers,AGI,SLIncomeTax,PropertyTax,MortgageInterest,Contributions,contrib + mortgage,Total SALT,Exhibit: S-L Income Tax Effective Rate
10573,"$100,000 under $200,000",2210,1100,141428.6458,8309.497207,12756.44172,11280.15267,2990.05848,14270.21115,21065.93892,0.05875399
10576,"$100,000 under $200,000",500,1920,145302.1277,8013.333333,15007.14286,13461.76471,2721.428571,16183.19328,23020.47619,0.055149456
10577,"$100,000 under $200,000",180,470,148693.3333,9050,20591.66667,11700,4530.769231,16230.76923,29641.66667,0.060863522
10578,"$100,000 under $200,000",120,150,144909.0909,7627.272727,9018.181818,12012.5,2310,14322.5,16645.45455,0.052634881
10579,"$100,000 under $200,000",1080,110,139400,7786.458333,11214.58333,9377.108434,2623.655914,12000.76435,19001.04167,0.055856946
10580,"$100,000 under $200,000",1170,1030,145598.0392,11147.82609,16247.4359,12217.54386,4180.434783,16397.97864,27395.26198,0.076565771
10583,"$100,000 under $200,000",3320,1020,146073.9274,9182.417582,16604.26357,11148.73096,3700.3663,14849.09726,25786.68115,0.062861441
10588,"$100,000 under $200,000",310,3030,138837.931,7526.923077,10548.14815,9113.043478,2540.740741,11653.78422,18075.07123,0.054213737
10589,"$100,000 under $200,000",1210,290,143475.2475,7648.837209,8504.301075,9889.705882,3091.578947,12981.28483,16153.13828,0.053311197
10590,"$100,000 under $200,000",750,1010,143671.831,8051.515152,13053.73134,12105.45455,2785.9375,14891.39205,21105.24649,0.056041014
10591,"$100,000 under $200,000",1940,710,141473.125,8241.09589,11501.65289,9575.510204,3171.830986,12747.34119,19742.74878,0.058252024
10594,"$100,000 under $200,000",600,1600,145605.3571,8066.666667,13323.52941,11085.36585,2657.692308,13743.05816,21390.19608,0.055400892
10595,"$100,000 under $200,000",770,560,147202.9851,7812.903226,12823.33333,10920.83333,2662.903226,13583.73656,20636.23656,0.053075712
10597,"$100,000 under $200,000",70,670,146928.5714,10600,26500,19466.66667,4316.666667,23783.33333,37100,0.072143899
10598,"$100,000 under $200,000",3770,70,143410.2564,7722.839506,11897.2561,10053.98551,2815.030675,12869.01618,19620.0956,0.053851375
10601,"$100,000 under $200,000",960,3510,138431.5789,8662.5,5950,9129.268293,3142.857143,12272.12544,14612.5,0.06257604
10603,"$100,000 under $200,000",1870,760,139735.8025,7798.026316,8900.75188,9841.025641,3591.780822,13432.80646,16698.7782,0.0558055
10604,"$100,000 under $200,000",850,1620,139821.4286,8116.923077,11100,11422.91667,3067.1875,14490.10417,19216.92308,0.058052068
10605,"$100,000 under $200,000",2140,700,145504.5685,8536.666667,11337.57225,10857.14286,3728.888889,14586.03175,19874.23892,0.058669406
10606,"$100,000 under $200,000",1040,1970,140625.8824,8563.291139,9147.540984,10342,3678.082192,14020.08219,17710.83212,0.060894133
10607,"$100,000 under $200,000",780,850,141172.6027,7685.9375,12549.23077,11076.36364,3924.242424,15000.60606,20235.16827,0.054443549
