,zip,Filers,Itemizers,AGI,pre-tcja-tax,current-law-tax
378,11740,1050,1990,144230.303,14685.54,14329.67
379,11741,3410,3290,138722.7273,14316.15,13118.0
380,11742,1500,1510,140208.0292,14763.66,13444.77
381,11743,4640,990,142471.6937,13687.2,13942.77
382,11746,5900,3080,141512.5912,13632.2,13727.42
383,11747,2450,1370,143083.3333,14064.77,14030.76
384,11749,270,4310,130016.0,11328.04,11202.52
385,11751,1670,5480,139355.7692,13715.23,13257.27
386,11752,1160,2100,139492.5926,14158.54,13287.37
387,11753,1370,250,146515.87300000002,13760.3,14616.21
388,11754,2360,1560,142140.0922,14810.39,13869.82
389,11755,1470,1080,138374.8148,13824.64,13041.46
390,11756,5160,1260,137754.8857,13644.9,12905.07
391,11757,4220,2170,135159.9483,12925.27,12334.19
392,11758,6700,1350,142135.4992,14269.71,13868.81
393,11762,3220,4810,143097.3684,14801.45,14080.42
394,11763,2570,3870,136218.3761,13692.73,12567.04
395,11764,1670,6310,144980.2548,14963.81,14494.66
396,11765,60,3040,155820.0,12776.4,15453.8
397,11766,1620,2340,141734.2282,14141.46,13780.53
398,11767,1820,1570,143527.907,14907.33,14175.14
399,11768,2540,50,143956.8376,14358.2,14238.1
400,11769,1270,1490,142392.437,14661.99,13925.34
401,11771,890,1720,143812.8205,13015.85,13809.92
402,11772,3570,2340,135601.548,13409.27,12431.34
403,11776,2480,1190,138149.7797,13984.32,12991.95
404,11777,1070,780,142661.7021,14460.26,13984.57
405,11778,1350,3230,139292.0635,14426.02,13243.25
406,11779,3920,2270,136685.8333,13786.48,12669.88
407,11780,1710,940,144914.1935,14264.09,14420.05
408,11782,1960,1260,141589.6175,14245.07,13748.72
409,11783,2930,3600,143215.6934,14843.35,14106.45
410,11784,2230,1550,134768.2692,13259.44,12248.02
411,11786,840,1830,145838.75,15448.36,14683.53
412,11787,4460,2740,143912.5,14761.08,14259.75
413,11788,2180,2080,142289.7959,14759.23,13902.76
414,11789,790,800,137860.274,14179.54,12928.26
415,11790,1750,4160,143634.3558,14752.32,14198.56
416,11791,2710,1960,145507.9051,13676.58,14510.53
417,11792,1140,730,144286.6667,15074.93,14342.07
418,11793,4460,1630,143024.8227,14659.52,14064.46
419,11795,3170,2530,140924.0132,13907.02,13602.28
420,11796,500,1050,139017.0213,14025.5,13182.74
421,11797,780,4230,145160.2941,12046.6,13983.62
422,11798,680,3040,135298.4127,12397.95,12149.13
423,11801,4140,470,137392.1196,13788.7,12825.27
424,11803,3710,680,145327.5072,14858.19,14571.05
425,11804,610,630,144121.0526,14520.66,14305.63
426,11901,1350,3680,135373.0435,13601.93,12381.07
427,11933,650,3490,139972.4138,14368.39,13392.93
428,11934,950,570,141405.5556,14391.08,13708.22
429,11935,350,1150,143750.0,15435.33,14224.0
430,11937,1250,580,142173.1481,13888.37,13447.37
431,11939,100,900,135762.5,12208.24,12277.13
432,11940,630,300,141444.8276,14374.35,13716.86
433,11941,340,1080,144050.0,15031.14,14290.0
434,11942,490,80,139531.8182,13905.58,13119.32
435,11944,320,580,142322.2222,15147.1,13909.89
436,11946,1110,300,139030.2083,14283.55,13185.65
437,11948,130,440,137330.7692,13140.48,12811.77
438,11949,1660,270,141480.6452,14179.97,13724.74
439,11950,930,960,130351.1628,12493.0,11276.26
440,11951,710,130,130664.0625,12604.75,11345.09
441,11952,510,1550,138234.7826,13666.51,13010.65
442,11953,1120,860,135186.5979,13542.85,12340.05
443,11954,330,640,141200.0,13337.67,13027.79
444,11955,310,460,133141.6667,12466.21,11890.17
445,11957,100,970,145262.5,16058.84,14556.75
446,11958,80,280,135157.1429,12420.95,12333.57
447,11961,1180,240,136077.6699,13628.46,12536.09
448,11963,690,80,142171.1864,13277.85,13364.99
449,11967,1940,70,133467.7778,13194.67,11961.91
450,11968,810,1030,141731.8182,14270.26,13289.04
451,11971,610,590,141553.7037,14192.94,13740.81
452,11976,200,1800,142576.4706,12791.97,12533.62
453,11977,260,660,140654.5455,14116.11,13151.5
454,11978,310,540,140407.4074,13611.77,13234.41
455,11980,490,170,136243.1818,13820.42,12572.5
456,12008,80,220,170850.0,23223.33,20186.0
457,12009,790,270,137725.7576,14743.2,12898.67
458,12010,1260,440,134690.5263,14797.4,12230.92
459,12015,300,0,138096.0,14949.15,12980.12
460,12017,30,60,223333.3333,32127.33,30331.0
461,12018,810,660,137795.6522,15121.32,12914.04
462,12019,2010,950,139089.8204,15390.25,13198.76
463,12020,3090,250,137968.3794,15289.29,12952.04
464,12022,40,30,131633.3333,12999.17,11558.33
465,12023,180,690,140200.0,16379.16,13443.0
466,12025,360,1670,137137.03699999998,14860.38,12769.15
467,12027,540,2530,141227.6596,16021.48,13669.09
468,12028,80,30,150566.6667,18532.5,15723.67
469,12029,80,150,131114.2857,12036.67,11444.14
470,12032,60,270,182400.0,25934.58,22727.0
471,12033,840,470,136532.3944,14666.75,12636.13
472,12035,40,60,158633.3333,21224.17,17498.33
473,12037,200,70,139218.75,15003.85,13227.12
474,12041,60,0,142360.0,17133.75,13918.2
475,12043,360,40,131073.0769,13706.98,11435.08
476,12046,70,710,146220.0,18312.5,14767.4
477,12047,1220,30,137692.6316,15165.54,12891.38
478,12051,250,160,139100.0,15833.94,13201.0
479,12052,130,50,145645.4545,17818.08,14641.0
480,12053,440,20,136271.0526,14926.84,12578.63
481,12054,2290,260,141178.5714,15732.34,13658.29
482,12056,240,50,139770.0,15640.53,13348.4
483,12057,90,950,156383.3333,20610.0,17003.33
484,12058,90,190,171914.2857,23946.79,20420.14
485,12059,170,110,153169.2308,19388.65,16296.23
486,12060,110,380,141377.7778,15670.35,13702.11
487,12061,1110,1960,140022.8261,15576.81,13404.02
488,12062,140,200,148416.6667,18223.71,15250.67
489,12063,50,60,142950.0,14470.0,14048.0
490,12065,5030,70,140142.1053,15732.15,13430.26
491,12066,160,130,150778.5714,19137.76,15770.29
492,12067,140,90,139275.0,15489.62,13239.5
493,12068,140,920,176718.1818,25503.03,21477.0
494,12070,90,120,129866.6667,13615.83,11169.67
495,12072,140,40,160345.4545,21954.92,17875.0
496,12074,280,0,137735.0,15385.52,12900.7
497,12075,250,4180,142066.6667,16297.77,13853.67
498,12076,80,140,146960.0,18232.5,14930.2
