,zip,Filers,Itemizers,AGI,pre-tcja-tax,current-law-tax
737,12850,220,120,136044.4444,23329.2,22037.77
738,12853,60,0,135275.0,23239.08,22499.5
739,12859,180,0,145226.6667,26033.91,24312.78
740,12861,60,210,197200.0,40620.08,38660.17
741,12863,70,160,148185.7143,25491.42,24854.07
742,12865,140,40,126370.0,20905.28,20027.1
743,12866,3620,0,140772.0539,23929.69,23012.37
744,12870,60,30,123025.0,16372.5,18156.3
745,12871,260,40,137965.0,23998.34,22803.77
746,12873,50,90,179875.0,33923.42,32886.83
747,12883,230,60,135721.4286,23572.12,22298.28
748,12885,170,0,126208.3333,20862.8,20002.05
749,12887,180,40,151933.3333,28247.59,26529.23
750,12901,1400,650,135329.8077,23341.08,22328.65
751,12903,140,210,156880.0,28602.87,27419.7
752,12910,60,90,145050.0,27744.75,25237.5
753,12912,80,50,160180.0,29850.35,28394.7
754,12913,60,70,132450.0,23442.08,21693.5
755,12916,50,160,139700.0,26083.42,23777.5
756,12917,50,60,123233.3333,21239.42,19737.5
757,12918,160,50,145666.6667,26597.47,25082.66
758,12919,180,0,155527.2727,28847.45,27243.47
759,12920,130,100,143000.0,26211.68,24346.3
760,12921,160,80,135258.3333,23353.63,22293.5
761,12926,60,210,138200.0,25775.42,23665.5
762,12928,110,40,154900.0,28952.95,27158.7
763,12932,70,20,173900.0,33166.95,31675.5
764,12935,80,480,132475.0,24093.08,22179.5
765,12936,50,340,163725.0,29545.15,28279.5
766,12941,70,1730,176580.0,33909.42,32768.43
767,12942,60,30,253060.0,55064.87,55213.37
768,12944,140,150,129333.3333,21908.62,21161.5
769,12946,290,0,139118.1818,23097.15,22525.33
770,12953,450,0,133625.0,23765.33,22178.5
771,12958,90,90,134242.8571,24078.02,22282.59
772,12959,60,50,120150.0,20831.08,19365.5
773,12960,60,180,147000.0,27779.75,25969.5
774,12962,430,90,135868.5714,23855.16,22531.84
775,12966,90,0,117800.0,19323.75,18367.5
776,12967,40,0,124533.3333,21430.75,19821.5
777,12972,510,190,132741.0256,22737.8,21687.94
778,12974,60,0,142500.0,26391.42,24569.5
779,12979,160,50,161536.3636,30633.1,28757.23
780,12981,150,140,146700.0,26587.65,24850.5
781,12983,420,350,139396.9697,24442.82,23152.77
782,12986,250,1430,139242.8571,24630.93,23253.17
783,12989,60,170,162725.0,30843.42,28625.5
784,12992,250,300,151587.5,28451.17,26510.5
785,12993,120,350,188650.0,36861.35,35604.47
786,12996,90,100,193066.6667,37186.82,36582.83
787,12997,80,40,158600.0,30152.75,27721.5
788,13021,1960,0,133234.4595,22964.11,21887.06
789,13026,110,30,210957.1429,42582.61,42479.31
790,13027,3070,290,137704.5627,23738.08,22828.84
791,13028,60,40,147520.0,25947.15,25242.3
792,13029,600,20,137209.6154,23621.04,22617.21
793,13030,240,40,132925.0,22509.42,21831.97
794,13031,1490,260,136447.619,23536.03,22672.99
795,13032,580,120,133764.4444,23181.73,22095.74
796,13033,200,30,146013.3333,26618.21,25023.78
797,13034,140,30,153500.0,28342.45,26726.83
798,13035,700,180,142915.0,24452.23,23801.77
799,13036,460,0,133905.4054,23270.29,22108.25
800,13037,660,0,134150.0,22971.23,22063.04
801,13039,1760,40,136619.375,23753.53,22759.08
802,13040,110,0,148185.7143,27090.22,25776.47
803,13041,1010,0,131894.4444,22591.58,21537.05
804,13042,110,150,139437.5,24648.75,23252.79
805,13044,180,0,164428.5714,31090.37,29462.36
806,13045,1230,40,134482.6087,23275.28,22230.09
807,13052,100,70,145783.3333,26682.62,25159.1
808,13053,330,100,134322.2222,22945.29,22055.28
809,13054,60,2970,132080.0,23168.15,21806.7
810,13057,950,40,137144.7368,23971.12,22908.29
811,13060,180,200,131115.3846,22278.24,21483.92
812,13061,80,40,198466.6667,39808.08,38702.83
813,13063,190,0,138093.75,24024.75,22938.43
814,13066,1350,140,139815.8333,23464.86,23183.41
815,13068,300,120,132230.4348,22600.0,21619.48
816,13069,960,0,132802.8169,23352.99,22145.43
817,13071,50,120,189733.3333,37988.08,36660.17
818,13073,360,1040,130485.7143,22507.54,21321.89
819,13074,180,100,150633.3333,27835.54,26385.5
820,13076,150,40,141569.2308,25583.07,24046.48
821,13077,380,50,131117.2414,22181.55,21494.44
822,13078,920,40,141542.5,23875.14,23487.03
823,13080,220,0,131750.0,22773.87,21561.53
824,13081,90,30,189366.6667,36696.82,35648.43
825,13082,280,30,132795.4545,22941.18,21837.76
826,13083,90,120,123957.1429,21374.35,19936.01
827,13084,330,110,135350.0,23392.82,22361.77
828,13088,1270,70,132979.798,23007.64,21925.61
829,13090,2570,120,135574.8837,23543.22,22544.32
830,13092,130,0,162880.0,31561.85,29219.7
831,13101,100,30,146166.6667,26553.82,25116.7
832,13104,1630,60,142198.6577,23863.75,23643.36
833,13108,630,0,137985.1852,23804.81,22917.6
834,13110,170,50,128186.6667,21302.71,20682.61
835,13111,40,0,136933.3333,25369.42,23557.5
836,13112,160,40,142381.8182,23969.12,23781.86
837,13114,400,40,132446.875,23231.96,22065.78
838,13116,260,0,132372.7273,22908.83,21891.23
839,13118,250,50,128570.5882,21931.01,20762.8
840,13120,70,50,231766.6667,50806.23,50954.73
841,13122,90,30,163157.1429,30276.62,28708.81
842,13126,1910,90,137336.1111,24342.56,23014.17
843,13131,200,30,158700.0,29686.7,28048.88
844,13132,240,220,130140.0,22145.03,21268.26
845,13135,400,0,133773.5294,22806.08,22041.6
846,13140,160,0,200690.0,40330.59,40260.51
847,13142,330,280,134072.0,23597.45,22304.67
848,13143,110,0,159883.3333,31021.68,28514.3
849,13144,50,0,140633.3333,25598.08,23489.5
850,13145,100,0,152685.7143,28933.42,26954.07
851,13146,60,70,144975.0,26405.42,24803.5
852,13147,60,40,137950.0,22060.75,20529.5
853,13148,550,40,135915.3846,23692.67,22417.88
854,13152,770,0,141176.9231,23823.81,23241.86
855,13156,120,350,165688.8889,31381.53,29605.4
856,13158,50,0,169200.0,32812.75,30633.5
857,13159,490,50,135512.5,23154.48,22351.89
858,13160,130,30,171080.0,32310.93,30398.03
859,13164,260,0,133029.1667,22361.32,21743.31
860,13165,410,0,129923.0769,22472.75,21128.08
861,13166,260,390,131015.7895,22754.41,21492.35
862,13167,200,30,131412.5,22825.5,21604.5
863,13202,90,0,154740.0,27789.55,26227.1
864,13203,310,110,135336.0,23163.13,22169.23
865,13204,200,20,129861.5385,22723.43,21216.18
866,13205,240,100,129242.8571,22625.11,20875.48
867,13206,430,330,127082.1429,22274.46,20709.46
868,13207,390,30,136424.1379,24349.15,22746.68
869,13208,260,140,133700.0,24119.43,22487.79
870,13209,570,0,132430.4348,22775.13,21829.95
871,13210,470,40,138445.7143,24523.57,23078.97
872,13211,110,160,136742.8571,24976.75,23363.79
873,13212,1020,80,130913.75,22745.82,21460.12
874,13214,690,60,134972.8814,23341.9,22248.68
875,13215,1600,50,139254.9296,24002.0,23226.26
876,13219,1200,0,132738.0,23172.64,22004.24
877,13224,580,1480,137577.551,23560.04,22646.71
878,13303,80,70,174650.0,32938.75,31861.5
879,13304,170,2630,132430.7692,22624.74,21558.92
880,13308,140,50,155633.3333,29303.42,27369.5
881,13309,230,520,134300.0,24057.28,22251.9
882,13315,60,200,151725.0,29007.08,26535.5
883,13316,250,1260,132452.9412,23390.21,21626.81
884,13317,170,450,150766.6667,28119.67,26261.77
885,13318,60,150,130880.0,22855.95,21686.7
886,13320,90,110,180350.0,35026.15,33371.1
887,13322,70,600,162440.0,30861.15,29039.1
888,13323,770,370,138711.4754,23950.87,23036.36
889,13324,80,560,153383.3333,29063.08,26921.9
890,13326,360,1600,140442.8571,23903.26,22764.12
891,13327,70,70,152240.0,28472.75,26075.1
892,13328,80,900,166833.3333,31835.55,29759.9
893,13329,100,80,135766.6667,24491.15,22668.7
894,13332,100,140,160900.0,31049.68,28830.3
895,13335,70,920,191600.0,38216.75,36697.5
896,13337,50,60,134500.0,23222.75,21577.5
897,13338,50,270,133866.6667,23670.75,21989.5
898,13339,200,50,144638.4615,25871.08,24674.73
899,13340,360,760,131287.5,22439.02,21351.3
900,13343,80,130,162620.0,30121.02,28540.3
901,13346,340,60,137507.1429,23161.65,22554.01
902,13348,80,160,153850.0,28927.28,26639.1
903,13350,330,1200,134960.0,23754.89,22536.64
904,13354,220,230,131768.75,22654.13,21367.71
905,13355,40,710,211333.3333,45020.08,43722.17
906,13357,380,30,134229.1667,24010.78,22435.05
907,13363,150,0,165066.6667,31417.81,29304.5
908,13365,330,280,136927.2727,24271.31,22768.32
909,13367,360,120,133460.0,22996.87,21564.93
910,13368,50,130,143966.6667,26008.75,24281.5
911,13402,70,290,144120.0,26395.15,24846.3
912,13403,400,800,135200.0,23529.33,22314.71
913,13407,190,180,164281.8182,31743.55,29569.4
914,13408,120,60,169350.0,31824.75,29999.79
915,13409,90,220,140183.3333,25490.28,23977.1
916,13411,110,70,147271.4286,27080.48,25333.84
917,13413,1370,280,139548.5714,24343.59,23241.23
918,13416,130,990,152566.6667,28639.14,26754.79
919,13417,140,2150,144020.0,25711.79,24648.3
920,13420,80,100,135357.1429,22264.75,21443.79
921,13421,610,60,133813.3333,23184.01,22074.97
922,13424,160,0,160841.6667,30946.3,28837.68
923,13425,80,1490,143250.0,25685.82,24450.3
924,13428,60,540,175750.0,33897.75,31981.5
925,13431,150,150,150466.6667,28608.81,26400.79
926,13438,200,30,135642.8571,23933.98,22523.79
927,13439,130,110,135985.7143,23741.68,22021.16
928,13440,1760,320,133141.1765,23291.77,21926.88
929,13452,130,220,139312.5,25060.92,23405.07
930,13456,300,170,137729.1667,24109.44,22993.74
931,13459,80,60,140933.3333,25691.42,24153.5
932,13460,180,70,131233.3333,21444.42,21131.68
933,13461,230,1440,131925.0,23220.88,21815.5
934,13469,70,150,148940.0,28013.55,25979.1
935,13471,110,200,153971.4286,29683.42,27178.64
936,13476,170,340,138791.6667,25035.24,23320.7
937,13477,70,0,143900.0,25945.28,24510.3
938,13478,160,100,136172.7273,24139.97,22709.29
939,13480,180,20,146892.3077,26914.74,25234.56
